gender,age,gross_income,segment,num_credit_cards,active_inactive_start,active_inactive_end,num_products,num_loans,duration
M,21,79070.91,Individuals,0,I,0,1,0,1035
M,23,178270.68,College_Graduated,0,I,0,1,0,1097
M,24,31243.56,College_Graduated,0,I,1,1,0,1866
M,24,130740.54,College_Graduated,0,I,0,1,0,1440
M,31,112975.17,Individuals,0,I,0,0,0,376
F,32,37318.56,Individuals,0,A,1,4,0,699
F,43,131281.5,Individuals,0,A,0,1,0,5022
M,48,184641.6,Individuals,0,A,1,1,0,4066
F,36,164347.86,VIP,0,A,1,1,0,1427
M,26,27311.31,College_Graduated,0,I,1,1,0,1458
F,46,256450.32,Individuals,0,I,0,0,0,6766
F,42,133268.46,Individuals,0,A,1,2,0,6446
F,22,42109.41,College_Graduated,0,I,0,1,0,1067
M,33,77878.38,College_Graduated,0,A,1,1,0,766
M,40,192617.13,Individuals,1,A,1,1,0,928
F,60,369235.74,Individuals,0,A,1,7,0,6632
M,24,62546.46,College_Graduated,0,I,0,1,0,1877
M,24,78944.25,College_Graduated,0,I,0,1,0,1776
M,25,89892.72,College_Graduated,0,I,0,0,0,1736
F,45,56459.34,Individuals,0,I,0,0,0,3505
F,34,115313.46,Individuals,0,I,0,0,0,1782
M,22,45188.43,College_Graduated,0,I,0,1,0,695
F,30,35098.71,College_Graduated,0,I,0,0,0,1509
M,48,92778.09,Individuals,0,I,0,0,0,5413
F,54,60695.7,Individuals,0,I,0,0,0,7513
F,20,113536.14,College_Graduated,0,I,0,0,0,628
M,39,107151.51,Individuals,0,A,1,1,0,4835
M,45,52346.28,Individuals,0,I,0,0,0,790
M,43,147215.34,VIP,0,A,1,4,0,5982
F,46,62811.03,Individuals,0,I,0,0,0,6437
F,22,54271.71,College_Graduated,0,I,0,1,0,1145
F,52,84360.39,Individuals,0,A,1,1,0,542
F,25,73119.45,College_Graduated,0,I,0,0,0,1773
M,22,72386.91,College_Graduated,0,I,0,0,0,780
F,66,83977.11,Individuals,0,I,0,2,0,3306
F,46,52257.03,Individuals,0,A,1,3,0,4055
M,89,170819.04,Individuals,0,A,1,5,0,7120
M,32,152320.05,College_Graduated,0,I,0,1,0,1152
F,61,104100.09,Individuals,0,A,1,3,0,2432
M,71,150134.25,Individuals,1,A,1,5,0,4673
M,69,185727.36,Individuals,0,I,0,1,0,3295
F,53,1415413.26,Individuals,0,A,1,3,0,1497
M,45,78611.4,Individuals,0,A,1,4,0,1507
M,18,101848.77,Individuals,0,A,1,1,0,5263
M,22,103770,College_Graduated,0,I,0,1,0,1054
F,44,309681.66,Individuals,0,A,1,1,0,3222
M,21,56065.77,College_Graduated,0,I,0,1,0,775
F,31,119227.83,Individuals,0,I,0,0,0,706
M,43,48012.78,Individuals,0,A,1,6,0,3679
F,25,183739.26,College_Graduated,0,I,0,1,0,1413
M,53,57920.94,Individuals,0,A,1,2,0,3768
M,70,157762.02,Individuals,0,A,1,3,0,3981
M,72,99327.33,Individuals,0,I,0,1,0,2951
F,23,55547.28,College_Graduated,0,I,0,1,0,1516
F,27,115431.57,College_Graduated,0,I,0,1,0,1060
M,43,76793.76,Individuals,0,A,1,1,0,671
M,25,114750,College_Graduated,0,I,0,1,0,1034
M,64,100595.49,Individuals,0,A,1,2,0,5657
M,23,85082.67,College_Graduated,0,I,0,1,0,1090
F,28,139177.86,College_Graduated,0,I,0,1,0,1735
F,26,155011.83,College_Graduated,0,I,0,1,0,1795
F,33,158391.87,Individuals,0,I,0,0,0,4857
